Unnamed: 0,l10e_ar_10addID.VAEtxt,l10_ar_10addID.VAEtxt,l11_ar_10addID.VAEtxt,l12e_ar_10addID.VAEtxt,l13_ar_10addID.VAEtxt,l14_ar_10addID.VAEtxt,l15e_ar_10addID.VAEtxt,l18e_ar_10addID.VAEtxt,l18_ar_10addID.VAEtxt,l19e_ar_10addID.VAEtxt,l1_ar_10addID.VAEtxt,l21e_ar_10addID.VAEtxt,l22_ar_10addID.VAEtxt,l23_ar_10addID.VAEtxt,l24_ar_10addID.VAEtxt,l2_ar_10addID.VAEtxt,l30_ar_10addID.VAEtxt,l37ae_ar_10addID.VAEtxt,l3_ar_10addID.VAEtxt,l44e_ar_10addID.VAEtxt,l4_ar_10addID.VAEtxt,l5_ar_10addID.VAEtxt,l6_ar_10addID.VAEtxt,l7ae_ar_10addID.VAEtxt,s10_ar_10addID.VAEtxt,s11_ar_10addID.VAEtxt,s12_ar_10addID.VAEtxt,s13_ar_10addID.VAEtxt,s14_ar_10addID.VAEtxt,s15_ar_10addID.VAEtxt,s17e_ar_10addID.VAEtxt,s17_ar_10addID.VAEtxt,s19e_ar_10addID.VAEtxt,s19_ar_10addID.VAEtxt,s27ae_ar_10addID.VAEtxt,s27e_ar_10addID.VAEtxt,s28e_ar_10addID.VAEtxt,s2_ar_10addID.VAEtxt,s3ae_ar_10addID.VAEtxt,s3_ar_10addID.VAEtxt,s4e_ar_10addID.VAEtxt,s4_ar_10addID.VAEtxt,s5_ar_10addID.VAEtxt,s6e_ar_10addID.VAEtxt,s7_ar_10addID.VAEtxt,s8e_ar_10addID.VAEtxt,s8_ar_10addID.VAEtxt,s9_ar_10addID.VAEtxt,PCA_Score1(0.359711779588953),PCA_Score2(0.11680296690614962),PCA_Score3(0.07413779328797682)
p__Nanoarchaeota__s__JAFCFZ01_sp017608385__GB_GCA_017608385,0.1190217095291614,0.0186541652962229,0.228322528305871,0.1633532850900691,0.0545026944415624,0.13027024182077,0.1287110039627905,0.2196078742745021,0.0503898645817472,0.1703941169123393,0.2101956064146916,0.1900462399877961,,0.033631138124417,0.0526042521707073,0.0779889547052068,0.2967927344605061,0.1887624464301244,0.1500569189918851,0.1626029033289901,0.202219401818301,0.2415430259662371,0.2343158385499394,0.0747512521750927,0.2971648762448814,0.142147628907374,0.0798782093036089,0.1251137944544804,0.3812749371516381,0.054805478332445,0.165626434152168,0.0250306321816753,0.1592151872847327,0.0131003899043965,0.1327758149999076,0.2574925088630696,0.2434317086748934,0.0733641464545712,0.0273332494241933,0.3143841122408302,0.0821380216818405,0.1880334161098578,0.2333709794640826,0.1379319858976554,0.1158727702654409,0.3043480736265113,0.1943089853467514,0.1665370494552403,-3.732691386188006,-0.22258264504544056,0.130403639285409
p__Nanoarchaeota__s__1-14-0-10-44-13_sp002762985__GB_GCA_002762985,0.3377601404607664,0.4117326394125762,0.6296826054963632,0.5085600942191347,0.0562539499372051,0.5955986017144391,0.1439781506763401,0.0088461990209223,0.0289776623152277,0.3560584237353236,0.6133815185090217,0.5905531297185268,0.2446511130281339,0.1769391499954387,0.3478532992761404,0.2996028439552606,0.1234773993699267,0.6927544610110833,0.2708879909680831,0.5780135080046408,0.5147471491355594,0.1280471756287692,0.6582501668728988,0.5355294815201692,0.4578173357959197,0.17187206069041,0.4815485717629158,0.2132247013974509,0.5681101662941881,0.0546186233711136,0.1015351792317961,0.0386488540785266,0.6060403190510196,0.1118499828933348,,0.6648846673766049,0.6501564944988721,0.231956371022221,0.2409828061683158,0.5201951260265062,0.1389376635590072,0.1695496056490275,0.5222230124431251,0.073815657027101,0.4176200022482443,0.2721172237786093,0.3988471498380828,0.2070064051974705,3.008877086653791,0.13903244338992488,4.470686322330444
p__Nanoarchaeota__s__JAHJUI01_sp018829185__GB_GCA_018829185,0.33137940752316,0.2034641126510658,0.3184127994912376,0.3997673936573198,0.0017392088613565,0.4181790802557804,0.1369750082359578,0.0451404292463564,0.0240736123738383,0.3184607534547032,0.3791792897050011,0.6404660270101633,0.218153602771881,0.1834875979654252,0.304805208912085,0.2802968236188053,0.126965406218776,0.1746133442522737,0.2279795784424144,0.2190793739863115,0.3419474159461597,0.1397300594312879,0.3586915123884546,0.4052341957271717,0.393228370546625,0.1649139875224577,0.5156062606849556,0.1455164971807359,0.4390468708249369,0.0492451969313529,0.1319916803742601,0.0236680725008649,0.2482148641437558,0.1950660238710412,0.0375114214573967,0.5256540036526713,0.5260236185665647,0.2901703429033113,0.1417294329425923,0.3805858681172021,0.1292153584651775,0.1513645792739826,0.2095896967046937,0.2369310529269172,0.3401544405433966,0.1461777550236065,0.4123210022413555,0.2675694292599537,0.4703049135239385,0.0001380502830989052,2.741119509613554
p__Undinarchaeota__s__Naiadarchaeum_limnaeum__GB_GCA_014189685,0.0894520691087513,0.1139497736054484,0.421399228571907,0.2025767080292177,0.0546996066873081,0.1655754458911237,0.0829502491922014,0.0129978304172907,0.0047190081022229,0.0760727215205496,0.1125577906233782,0.1184312512197016,0.0230900167501435,0.0396686341276555,0.1110138610913026,0.1037669398081195,0.2030926460631327,0.016418648731369,0.0582566156078321,0.2860794671902595,0.0547492195142189,0.0343648993318913,0.2192145866553627,0.1123542568457874,0.1466401222071106,0.0662923116861364,0.2869038983261626,0.0971939164713805,0.162935079202518,0.2844105036059267,0.0330197020076134,0.0235141002342901,0.1179854256466287,0.032468418627508,0.1948490046140026,,0.1034925733357131,0.0050842406243467,0.0336879984392079,0.0541378008221566,0.094448020603366,0.2006694420520799,0.0847294708306874,0.0481256858594917,0.0478457025505716,0.1901069768122364,0.1707440396450746,0.0597671282753526,-5.313041120715108,-0.2769309517770786,-0.6490986619639432
p__Nanoarchaeota__s__JAHJAV01_sp018813685__GB_GCA_018813685,0.4003869641360568,0.5244316070605879,0.6043042573752558,0.4996542164212227,0.0083664635017434,0.6188012781148847,0.1388313547680594,0.0169373306810609,0.0257130580949589,0.3675723139760531,0.5237468013937582,0.6243678891875443,0.3433281160537631,0.1918571260262922,0.3943073923751465,0.2379275369324456,0.082380353406959,0.570406376213529,0.2963923516836503,0.6271092921877747,0.3704148246208327,0.1207416285841544,0.5125313067137762,0.3302833572200186,0.5228470364110872,0.228217925148309,0.538207610744257,0.1850533286400374,0.475486306897694,0.0776489570201148,0.1366339782795554,0.0180159620382791,0.4249703380880124,0.1306045296404372,0.2222262174877874,0.6926180949439854,0.917256768675997,0.3398875470265737,0.2568798652078448,0.4472291417426371,0.0932608889019046,0.1708106439484495,0.6002572632938853,0.449572397267901,0.4775353262753915,0.2767517364641239,0.3695392936994403,0.2762613664300319,3.1893063369952466,-0.15505277882070007,4.872277380172659
p__Nanoarchaeota__s__JABIAG01_sp018653365__GB_GCA_018653365,0.3941823950127827,0.3173648389274348,0.4702191167552619,0.5302551150607395,0.0016470181073668,0.488597683090052,0.1429809486039548,0.0078132243307385,0.0269232488903969,0.3543732927321197,0.4338110563848295,0.5417071240900906,0.3309227340802442,0.1657403171660816,0.3833702432976763,0.2143242797656419,0.1721931174227589,0.5254810028935922,0.2989658695043026,0.4578697172195867,0.3304838197852436,0.1276963163502698,0.5524068357947419,0.2936936702410602,0.5647399517823278,0.1420580985988104,0.5923595274289942,0.1271200389130227,0.582543577242117,0.0932860582670693,0.1537956087357609,0.0667891685858796,0.3402559821304284,0.1207533774120129,0.1311543294466255,0.4726001813335052,0.5636516773944942,0.2644121137992948,0.257361903851062,0.4811390313781791,0.1192084201075616,0.1637932594920179,0.2666610171239085,0.1843247247528325,0.252859699232665,0.1489166026934827,0.3370140353952923,0.1745894744103586,1.5696968735991979,-0.35079998895594144,2.946419190356141
p__Micrarchaeota__s__Burarchaeum_australiense__GB_GCA_902386535,0.047631821299718,0.0176223477279746,0.1007086201692192,0.1910179278916293,0.0353060169867765,0.3926450501093969,0.2486653392267718,0.0987652955167021,0.063042745485038,0.3532335869949512,0.5321491374603151,0.2057241142178312,,0.0193886613182592,0.0632757573073536,0.0763674938439229,0.1358517776150873,0.3129112470856662,0.0173548312429319,0.4382602770098663,0.2363139096021008,0.1728532079300839,0.0631291877226591,0.088050315131944,0.861822506351274,0.1750635468260134,0.5168957912222265,0.2712325314192785,0.2006737295735463,0.0483253321048553,,0.0993785152368263,0.1301267993104602,0.2306034912262867,0.2480122769995215,0.142761474795686,0.6632327209050405,0.0651866894248288,0.0309435084177351,0.9457441420603636,0.0504931638111501,0.3496218686598584,0.8165473046754442,0.0553017425031965,0.6215170565160414,0.5915544979714715,0.0580152032376695,0.1376456466600196,-1.5250782014687396,0.7442348339394043,2.003413802506375
p__Altiarchaeota__s__CABMCB01_sp902384455__GB_GCA_902384455,0.0515515511412912,0.170685736609646,0.0376261152573995,0.2855558752491801,0.0434789500230798,0.0936405185522977,0.1083841932510314,0.0169183455859568,0.0761909396973237,0.2078447801879881,0.0328250299769922,0.0550306050752976,0.0586113386599975,,0.0828188279563742,0.0963332478153359,0.2179270347657102,0.1721438250864821,0.0616869699131197,0.068308366335259,0.1056697712009452,0.0670171829695282,0.0698044042844835,0.0875547676985024,0.3525872196716641,0.063178760960033,0.23883524919563,0.0828413365332521,,0.1363345582487571,0.1519697083398043,0.0290934796669012,0.1159201304318265,0.0120729722788223,0.4215192829666361,0.2322870522165525,0.3636014733513047,0.0167143899077417,,0.0272702077872678,0.0529293605434726,0.0542282122472623,0.1189463904127089,0.1062527829352342,0.2056617902823819,0.105461332841109,0.0584207870764541,0.1086194669959881,-4.929572274468275,-1.3612819960608624,-0.6448435411799704
p__Aenigmatarchaeota__s__JAFGCN01_sp016932615__GB_GCA_016932615,0.095751403681721,0.1422256181937217,0.2946859097287229,0.096847290033224,0.0679783477206281,0.3180148099087138,0.1091794854759124,,0.0973208476265645,0.1876198284830554,0.0593036812158354,0.1522526928796393,0.0015021317130374,0.0885298954547654,0.1925591868567419,0.0799278954341728,0.231659472612987,0.3813766858069062,0.0924533814490188,0.3199289107776145,0.058135423974616,0.3780219992319729,0.1278323225641915,0.2677309798780422,0.4130883547501484,0.1032449776059362,0.1557589156697338,0.0571794577917387,0.2496507463328807,0.1023519539567113,,0.1445249543176824,0.1771446442396647,0.1732065876345886,0.1673856791733775,0.0915786970856075,,0.1247561514399344,,0.2887731652498431,0.0362382879621238,0.3762474291246814,0.4562552552338343,0.2274726070994535,0.2316732219397168,0.3734640103982616,0.2746654481367604,0.2020616834652796,-2.5272972312106066,0.5804719513918075,0.5603226755351346
p__Thermoproteota__s__WALU01_sp015522685__GB_GCA_015522685,0.0555995453322494,0.1738690770955877,0.0298889493752088,0.1053440647897768,0.0076332021386985,0.2029725068704113,0.0774251365238104,0.000879253895398,0.1545751373898025,0.037726610852048,0.0707362953268156,0.0916631353620158,0.204823991623127,0.1767873915275701,0.059436143340553,0.1559805785221821,0.1149393866434326,0.2090754015113947,0.0174482711931695,0.2301244436941766,0.1266982733499818,0.239580324065805,0.3365067555202944,0.1799692062845446,0.7825637082458659,0.0796378983371737,0.4540114440620911,0.1170912954859354,0.1088818059637227,0.286872254693276,0.1460493828494579,0.192807125930887,0.1560175971469211,0.0582870032391125,0.1461549885469482,0.0215821099091,0.1639509698541561,0.1297223977126373,,0.1021054809548719,0.2623800015989858,0.2253928187804011,0.0400949859041837,0.1684373621431607,0.2157609682924823,0.1921987219420109,0.1466611136497548,0.022908062692088,-3.7587439632584108,0.9040283976927832,-2.6424850330934735
