Unnamed: 0,COG0016_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0048_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0049_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0051_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0052_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0072_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0080_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0081_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0087_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0088_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0090_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0091_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0092_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0093_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0094_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0096_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0097_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0098_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0099_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0100_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0103_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0127_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0149_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0164_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0184_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0185_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0186_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0197_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0198_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0200_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0244_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0256_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0343_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0504_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0532_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0533_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,COG0541_all_epi_gap10_keep50_arc1855EuryaddID.VAEtxt,PCA_Score1(0.3856230825076798),PCA_Score2(0.11015074520180886),PCA_Score3(0.08468568818925014)
ANME2a_UWMA-0185_GCA_012962625,0.2950474257844853,0.4802637676918737,0.1314204300488765,0.1741075333723032,0.0699348183521512,,0.0915647070233077,0.1021611145712503,0.1602151357005895,0.0691045017674994,0.5607469258985144,0.3298766035424868,0.2775530789712633,0.3176769007604026,0.1077278525649856,0.2272523155371026,0.2366499780386796,0.1013271859497299,0.1074517315837062,0.1092602263852658,0.1156131933596822,0.4057632177112207,0.7198758653371382,0.2571560743580514,0.4351540558860609,0.2456990536295659,0.1053834225645025,0.2205576590076089,0.3353454879837366,0.4194677613845097,0.3369685263883705,0.2047002682469504,0.5129982587785971,0.3076198269209429,0.6771402141619132,0.4110673109152427,0.4931210980393099,-2.599495923289796,3.2710884463551246,-0.4495286369096796
CaMethanoflorens_stordalenmirensis2518645542,0.1280706940447087,0.3995765871080229,0.1677247684194326,0.2660146624362769,0.1109233449392428,0.2714540130782346,0.2090118201101684,0.0736657468558741,0.132003544642598,0.092927943826235,0.5160560217847255,0.1448373750558154,0.2212237731893089,0.3596514328018449,0.1477224045951034,0.1580802194809154,0.2309993798545652,0.1366850102985256,0.1702227534670456,0.242666862135683,0.2086979619686513,0.0646827299702856,0.3954076898769956,0.2174833181449924,0.2606392905985358,0.1042805290185135,0.0866666106721149,0.1669986176857973,0.2475512488013863,0.4416847017195408,0.2883880685696542,0.1295489807869183,0.3377490235985766,0.2702439709600786,0.5529581195988226,0.3134386286815801,0.405295952871354,-3.787026181319157,1.9886943125600371,0.09909948092140329
CaNuwarchaeum_spEEE104,0.1637104900138638,,,0.2998667324043714,,,,0.3899430705842228,0.2567016910819868,,,0.2119955658081569,0.2157355852807579,0.3094574536491727,,,0.2343978737675087,0.1266551121283158,,,0.2716530583346564,,0.1975033667225942,,,0.1226843654732764,0.066894630766793,,,0.5243515640213452,0.1254963498708934,,0.084592240432923,,,,0.5473060730449231,-1.6947124968534737,0.7177854350025743,-0.026765515399816135
CaNuwarchaeum_spEEE17,0.5397828609018366,0.447780632474738,0.3319394951815896,,,0.1175742290109717,,,0.1939797510726767,0.2717742900847505,0.1446499535749165,0.256802778017875,,,0.0597084715358731,0.3000623699686878,0.1621035189198918,0.2356618827410092,,,,0.1437556733373823,0.1236766243511594,0.143150287100285,0.1305482425009987,0.1405750372344783,,,,,,0.1465493499255513,0.0937047934647808,0.0514532479505336,0.0454927354532503,0.1369659141367178,0.0336150736787073,-2.732567461713901,-1.1831858125062444,1.9618480643665235
GCA_000007185,0.0702131436768026,0.3241517377617127,0.1351037426078228,0.1471972464979415,0.207445002175676,0.1476503930234869,0.3092944457723893,0.3061746768252066,0.1841827069989103,0.1401581629183483,0.1510533142042219,0.2799355904591208,0.0848292053652947,0.3056888582372736,0.278903663252924,0.3054097993717562,0.2093860958842868,0.1556594547051578,0.2372794320874248,0.2575766207590179,0.2016681837807759,0.268940489425957,0.0860170952269435,0.2764723356616843,0.2138465928968431,0.1455684608167981,0.1199293050776143,0.0985665840253792,0.2789894193223018,0.3075816902827935,0.2266652678295433,0.3170114538808161,0.0864983257237078,0.1587402909290415,0.1108359076484806,0.116783422154757,,-4.542701477909558,0.010120863345276425,0.8794468757357604
GCA_000009185,,,,0.3619279868836164,0.4532284497575518,,0.33406562776463,0.580678874404755,,,0.4603715908729272,,,0.4734859748601953,0.3982284040359525,,,0.5862153286541548,0.3438108550539474,,0.4763782824978855,,0.5928413595764728,0.2173178367111175,,0.2320510240603807,0.4095796148208526,,,,,,,0.4166581792459692,,0.2423355701005079,,0.3586861102194614,-0.7983793978456727,0.2030422539193692
GCA_000015765,0.3386258904961447,0.5424565602237537,0.3399797663712535,0.44542105021499,0.3182610017174244,0.3648461708914163,0.4273889256034611,0.3910854628746794,0.3394050480212711,0.1916793069650749,0.5118501831952406,0.4076674032672898,0.5997357473471455,0.5794420625410587,0.1092814543176094,0.7200977091907933,0.4148747002410508,0.0685859829522652,0.2711080234724773,0.4310866719466208,0.6036806615645575,0.6224283891323331,0.1926283850548806,0.111989261242483,0.8113398729029692,0.4070007279582882,0.2271474833295484,0.4914267252169022,0.2674954160539888,0.6725430933419224,0.6991125125521548,0.4134268101725514,0.6566894221292057,0.4738072824030599,0.4185435858031855,0.3292172562278322,,2.1849307644707,2.9330139588239175,0.8192112259486983
GCA_000016125,0.1516226170250931,0.7778467229945215,0.0944424427882649,0.1846896918988096,0.2577240625262251,0.1548429448615392,0.2729325676016298,0.7126507966939714,0.3102248129298092,0.1755581155653817,0.11033111811617,0.3089669913896686,0.2888059237556672,0.2710126580451059,0.4155532182322099,0.3387135057964909,0.1095356546841278,0.2987623124750369,0.3270093235645999,0.1898418443884997,0.1613984781959208,0.3140414588887326,0.2339972547008293,0.2469706027064663,0.0798931304490104,0.2225268718917025,0.1835617299934173,0.128331281495921,0.2037642996733353,0.4101339051059151,0.2135222769336191,0.3199955699546417,0.1794817667114511,0.7384628136550248,0.1321453268377718,0.3781375147853187,0.0777479715280921,-3.2164362216871187,-0.7515117473776453,-1.4721282148426047
GCA_000021965,0.3496934088523476,0.7157945543596028,0.5357747068356438,0.5403374885311555,0.5120722419861307,0.4852605458135231,0.639563684333666,0.393793826310872,0.4785076954962657,0.4241498745592481,0.5244031971486838,0.5736139899658829,0.6468715521301492,0.8479276822471276,0.1679825168166914,0.6057145595736698,0.6979792083327143,0.0710940177211224,0.4891546114058264,0.5527570978837242,0.5963980382582974,0.7448760633620665,0.2025027588704299,0.1524996268776586,0.7657077093130478,0.6238063786312618,0.2386232222350627,0.546173511539662,0.2631283764580845,0.676392285206768,0.7813800515252285,0.5728936777254501,0.859882018733982,0.6177727648038309,0.7676150355644861,0.4381769736043002,0.7060935245756942,5.702999504165116,3.7960830716466045,-0.26023423159089704
GCA_000025285,0.1260869940220364,0.2352763263783321,0.2005280064729467,0.1165340001960688,0.0774742911074009,0.3015711147343869,0.1247499586999477,0.1647966295565871,0.1552246816245792,0.0843378513702321,0.3755089216734014,0.5983187758695796,0.059442141645797,0.226531913892563,0.1149191774603166,0.1325182781863977,0.2762320839997829,0.15207914544077,0.0744548731747668,0.1269297011173623,0.042110370159632,0.1741270084893981,0.2541733118258552,0.2526269644811986,0.2526268384443751,0.1156479039497984,0.1716449886827757,0.0741152023158053,0.727557472657438,0.1978413311494246,0.2237288165593127,0.2689225198965812,0.211776922810296,0.7810012535173306,,0.3389797437068432,0.1969984112574304,-4.318230266053795,2.208697397435865,-0.28973060057755884
