genome	VAEPCA3D	VAEPCA1
ANME2a_UWMA-0185_GCA_012962625	0.4150087945993443	0.35454236728190275
Bathyarchaeota-3300028193_21	0.3444245371470927	0.34775177981518557
CaMethanoflorens_stordalenmirensis2518645542	0.40010546940828784	0.33848493052060236
CaNuwarchaeum_spEEE104	0.2245638002283481	0.2276624732685599
CaNuwarchaeum_spEEE17	0.2514008322429486	0.24039511689262216
GCA_000007185	0.15603502429918434	0.15437540067258218
GCA_000008085	0.16694261365339463	0.16736691114638347
GCA_000009185	0.5423201767807434	0.5411009136276229
GCA_000011205	0.5442544930426504	0.5295143960889687
GCA_000015145	0.8384192754246413	0.8181729057139482
GCA_000015765	0.569750760081891	0.5182266503107945
GCA_000016125	0.13793142933647842	0.08068078562194128
GCA_000016605	0.5110504281109715	0.5005526570464731
GCA_000021965	0.7516524607989596	0.7146995968366388
GCA_000025285	0.2870137626403743	0.2157622182873686
GCA_000025505	0.2947433811534831	0.22890545246506255
GCA_000025665	0.2844513740019037	0.23316167649118813
GCA_000063445	0.35464505409266817	0.2999027503228098
GCA_000092305	0.13371846379845348	0.08908060360639106
GCA_000092465	0.8830124076624569	0.8670225759161786
GCA_000145985	0.529995506136253	0.5141059584801403
GCA_000151105	0.16188671020249978	0.15727136376070702
GCA_000166095	0.2111438939729524	0.18256589349241256
GCA_000191585	0.31366902990736045	0.28521760124546747
GCA_000193375	0.3457379266686945	0.33061482305913326
GCA_000194625	0.31463989181042246	0.2357567211850789
GCA_000200715	0.6656108994380011	0.635356006176217
GCA_000217715	0.7520333837309598	0.7502757996563549
GCA_000217995	0.49781637398625084	0.4322244933938832
GCA_000220175	0.8781847189524751	0.8163104689664702
GCA_000220355	0.26483827454393416	0.2676543747906171
GCA_000223395	0.7841001838168606	0.7770305506766357
GCA_000230735	0.7373216877685448	0.737420992900763
GCA_000235565	0.455439405166457	0.3779407540871607
GCA_000243455	0.14377161351379222	0.10125218212174428
GCA_000247545	0.35373237864805906	0.3349659628428822
GCA_000251105	0.36771906067770366	0.3061893857624792
GCA_000258425	0.49250677872938187	0.47613654428877394
GCA_000264495	0.6472162522428748	0.6329706406866693
GCA_000270325	0.20477479708114651	0.19741324794518206
GCA_000308215	0.6833368234219002	0.52655874994824
GCA_000317795	0.45834281268959537	0.4483099897032627
GCA_000327485	0.7216805127989729	0.6697867320508497
GCA_000337215	0.7446724659475202	0.7458763154238264
GCA_000337255	0.5423299557104218	0.5406281714728832
GCA_000337515	0.6301472880996439	0.6294260988532908
GCA_000337695	0.7227134551227983	0.7225645002581027
GCA_000337775	0.5840231646453735	0.5845563782064227
GCA_000380905	0.3344804839551493	0.3367421344663973
GCA_000385565	0.30275393807868506	0.22094410214543553
GCA_000389735	0.5087798655749675	0.4966227714779592
GCA_000402355	0.2899296246551056	0.2428502695477673
GCA_000402775	0.17946267158470616	0.1557668497169985
GCA_000403645	0.5405339233491897	0.5407956924652441
GCA_000405245	0.2520790452965181	0.24278012454617331
GCA_000455345	0.7194317901617722	0.7183574725588476
GCA_000455365	0.7206472690128652	0.7210860254351
GCA_000494185	0.2502714304582669	0.2530979928084452
GCA_000494205	0.2213973530753079	0.195154522324227
GCA_000496135	0.3049870519775162	0.28370947059318247
GCA_000496235	0.4943369648981196	0.49476536464715737
GCA_000513855	0.682087703541802	0.6742935046504271
GCA_000517625	0.6778833472971011	0.6771194372243824
GCA_000591035	0.6332564825606046	0.6244730368196617
GCA_000710615	0.5690761102680363	0.5687426151980038
GCA_000711905	0.34765019334633857	0.2981734055544196
GCA_000723185	0.7509818042825549	0.7154002057156618
GCA_000762265	0.3480783703863645	0.3134429291682785
GCA_000765475	0.5391048459212702	0.4667999515951171
GCA_000784355	0.6653028037321248	0.6278608203189089
GCA_000802205	0.4440403795740415	0.4347475464895707
GCA_000813245	0.3537316770431667	0.3337587703921865
GCA_000830275	0.2736768869686401	0.21474028209422708
GCA_000830295	0.43290897054020505	0.4266222353073139
GCA_000965745	0.31220270323187665	0.2886130987434007
GCA_000966265	0.14095718946410293	0.13628434039410448
GCA_001006045	0.28967855396648295	0.2095334454901744
GCA_001282785	0.5412789010633959	0.5416235462889389
GCA_001399795	0.6891005383582943	0.6923951290890379
GCA_001399805	0.6361979048365357	0.6448778039718268
GCA_001412355	0.7574311526349635	0.7121206612152263
GCA_001443365	0.7955484628445861	0.7508806812228535
GCA_001462205	0.5298306093827129	0.5282278697446119
GCA_001462395	0.836151572813032	0.8171290462338601
GCA_001469955	0.5768305962362593	0.5780092194774331
GCA_001552015	0.17327409377394537	0.16368954570552116
GCA_001560605	0.5183073997786155	0.5056934414328828
GCA_001563325	0.1752259428844828	0.1780332566051994
GCA_001571405	0.7544556202710343	0.6988795682299543
GCA_001587575	0.09996281027596832	0.038896702964592536
GCA_001593935	0.547868784350886	0.5444461499736691
GCA_001595885	0.435499464281718	0.3710400856423334
GCA_001595945	0.5349825726245244	0.4151272863796794
GCA_001639265	0.3534944679239	0.3066171564095326
GCA_001639295	0.3345898509901638	0.2894821761680111
GCA_001717035	0.27035806389995815	0.24083862186462698
GCA_001723845	0.12099436616057371	0.1218305254631823
